"","Form","Date","RM","SHORE","SF","DTSF","DTSF2","COND","TEMP","TDS","SALINITY","DO.","DO","Effort","CATCH","CPUE","YEAR","MON","pa","AREA_2","S_Tide","P_Tide","Experimental_Net_ID","Experimental_Net","PRESENCE","Rkm","SFkm","logCATCH","logSAL","Tide"
"89",200917066,"4/24/2009 0:00",36,3,63,-43.45218,0.0627721620076397,8110,9.7,7.4,6.54,94,10.2,1.28296,1,0.077944753,"2009","4",1,NA,4,1,"","0",1,57.93624,101.38842,1,1.87793716546911,1
"90",200917067,"4/24/2009 0:00",36,3,63,-43.45218,0.0627721620076397,8558,9.6,8.17,7.2,93,10.1,0.74666,0,0,"2009","4",0,NA,1,2,"","0",0,57.93624,101.38842,0,1.97408102602201,2
"91",200917068,"4/27/2009 0:00",38,3,59,-33.79614,0.144270234876541,4856,11.7,4.23,3.58,95,10.1,1.10222,4,0.362903957,"2009","4",1,NA,2,4,"","0",1,61.15492,94.95106,4,1.27536280041261,2
"92",200917069,"4/27/2009 0:00",39,3,59,-32.1868,0.157853247021357,4426,11.5,3.87,3.26,96,10.2,1.49925,5,0.333500083,"2009","4",1,NA,3,4,"","0",1,62.76426,94.95106,5,1.18172719537862,2
"93",200917070,"4/27/2009 0:00",39,3,59,-32.1868,0.157853247021357,5429,11.8,4.71,4.01,95,10,1.39851,8,0.572037383,"2009","4",1,NA,4,4,"","0",1,62.76426,94.95106,8,1.38879124131848,1
"94",200917071,"4/28/2009 0:00",39,3,58,-30.57746,0.171436259166174,3980,12.1,3.42,2.86,96,10.1,1.09037,6,0.550271926,"2009","4",1,NA,4,4,"","0",1,62.76426,93.34172,6,1.05082162483176,1
"95",200917072,"4/28/2009 0:00",38,3,58,-32.1868,0.157853247021357,4024,12.2,3.46,2.89,96,10,1.60296,14,0.873384239,"2009","4",1,NA,4,4,"","0",1,61.15492,93.34172,14,1.06125650212434,1
"96",200917073,"4/29/2009 0:00",38,1,52,-22.53076,0.239351319890258,2500,12.3,2.14,1.74,97,10.2,2.54518,0,0,"2009","4",0,NA,2,4,"","0",0,61.15492,83.68568,0,0.553885113226438,2
"97",200917074,"4/29/2009 0:00",38,1,52,-22.53076,0.239351319890258,2681,12.5,2.28,1.85,97,10.2,2.57481,0,0,"2009","4",0,NA,2,4,"","0",0,61.15492,83.68568,0,0.615185639090233,2
"98",201017001,"3/15/2010 0:00",37,3,49,-19.31208,0.266517344179892,6062,4,6.47,5.53,95,12.1,1.12,0,0,"2010","3",0,NA,4,2,"","0",0,59.54558,78.85766,0,1.71018781553424,1
"99",201017002,"3/15/2010 0:00",37,3,49,-19.31208,0.266517344179892,4132,4,4.6,5.51,100,12.6,1.07555,0,0,"2010","3",0,NA,4,2,"","0",0,59.54558,78.85766,0,1.70656462316482,1
"100",201017003,"3/16/2010 0:00",38,1,45,-11.26538,0.334432404903976,1249,4.1,1.34,1.05,97,12.6,1.08444,0,0,"2010","3",0,NA,4,4,"","0",0,61.15492,72.4203,0,0.048790164169432,1
"101",201017004,"3/16/2010 0:00",37,3,45,-12.87472,0.320849392759159,3389,4.1,3.76,3.15,96,12.3,1.18222,2,0.16917325,"2010","3",1,NA,4,4,"","0",1,59.54558,72.4203,2,1.14740245283754,1
"102",201017005,"3/16/2010 0:00",37,3,45,-12.87472,0.320849392759159,4983,4.1,5.39,4.57,99,12.5,1.14666,5,0.436049047,"2010","3",1,NA,1,2,"","0",1,59.54558,72.4203,5,1.51951320490611,2
"103",201017007,"3/17/2010 0:00",36,3,40,-6.43736,0.375181441338426,2490,4.4,2.65,2.16,96,12.2,1.04296,2,0.191761908,"2010","3",1,NA,2,3,"","0",1,57.93624,64.3736,2,0.770108221696074,2
"104",201017008,"3/17/2010 0:00",36,3,40,-6.43736,0.375181441338426,3871,4.5,4.14,3.44,98,12.3,1.18222,1,0.084586625,"2010","3",1,NA,2,3,"","0",1,57.93624,64.3736,1,1.23547147138531,2
"105",201017009,"3/17/2010 0:00",36,3,40,-6.43736,0.375181441338426,2508,4.6,2.67,2.17,99,12.6,1.10222,3,0.272177968,"2010","3",1,NA,3,4,"","0",1,57.93624,64.3736,3,0.774727167552368,2
"106",201017010,"3/17/2010 0:00",35,3,40,-8.04669999999999,0.36159842919361,2880,4.5,3.06,2.5,98,12.5,1.1674,2,0.171320884,"2010","3",1,NA,3,4,"","0",1,56.3269,64.3736,2,0.916290731874155,2
"107",201017011,"3/18/2010 0:00",36,3,36,0,0.429513489917694,254.3,5.1,0.26,0.2,98,12.5,1.28296,15,1.169171291,"2010","3",1,NA,3,4,"","0",1,57.93624,57.93624,15,-1.6094379124341,2
"108",201017012,"3/18/2010 0:00",36,3,36,0,0.429513489917694,256.7,5.1,0.26,0.2,97,12.3,1.66814,5,0.299735034,"2010","3",1,NA,4,4,"","0",1,57.93624,57.93624,5,-1.6094379124341,1
"109",201017013,"3/18/2010 0:00",37,1,36,1.60934,0.443096502062511,340.4,5,0.36,0.27,97,12.5,1.26814,0,0,"2010","3",0,NA,4,2,"","0",0,59.54558,57.93624,0,-1.30933331998376,1
"110",201017014,"3/19/2010 0:00",36,1,33,4.82802,0.470262526352144,230.9,5.5,0.23,0.18,99,12.4,1.03407,0,0,"2010","3",0,NA,2,3,"","0",0,57.93624,53.10822,0,-1.71479842809193,2
"111",201017015,"3/19/2010 0:00",36,1,33,4.82802,0.470262526352144,222.3,5.3,0.23,0.17,109,13.7,1.05481,0,0,"2010","3",0,NA,2,3,"","0",0,57.93624,53.10822,0,-1.77195684193188,2
"112",201017017,"3/22/2010 0:00",37,3,30,11.26538,0.524594574931411,206.6,6.4,0.21,0.15,93,11.5,1.1437,0,0,"2010","3",0,NA,2,2,"","0",0,59.54558,48.2802,0,-1.89711998488588,2
"113",201017018,"3/22/2010 0:00",38,1,30,12.87472,0.538177587076228,266.2,6.1,0.27,0.2,97,12,1.12296,0,0,"2010","3",0,NA,2,3,"","0",0,61.15492,48.2802,0,-1.6094379124341,2
"114",201017019,"3/22/2010 0:00",37,1,30,11.26538,0.524594574931411,199,6.1,0.2,0.15,98,12.2,1.11407,0,0,"2010","3",0,NA,3,4,"","0",0,59.54558,48.2802,0,-1.89711998488588,2
"115",201017020,"3/23/2010 0:00",39,3,31,12.87472,0.538177587076228,315,6.4,0.31,0.16,96,11.6,1.14962,0,0,"2010","3",0,NA,2,2,"","0",0,62.76426,49.88954,0,-1.83258146374831,2
"116",201017021,"3/23/2010 0:00",37,3,31,9.65604,0.511011562786595,456.4,6.3,0.47,0.36,86,10.6,1.02814,1,0.097263019,"2010","3",1,NA,2,2,"","0",1,59.54558,49.88954,1,-1.02165124753198,2
"117",201017022,"3/24/2010 0:00",36,1,22,22.53076,0.619675659945129,197.1,6.2,0.2,0.15,96,12,1.22666,0,0,"2010","3",0,NA,2,2,"","0",0,57.93624,35.40548,0,-1.89711998488588,2
"118",201017023,"3/24/2010 0:00",36,1,22,22.53076,0.619675659945129,201.3,6.3,0.2,0.15,95,11.8,1.12,0,0,"2010","3",0,NA,2,2,"","0",0,57.93624,35.40548,0,-1.89711998488588,2
"119",201017024,"3/24/2010 0:00",38,1,22,25.74944,0.646841684234763,183.9,6.2,0.16,0.14,98,12.1,1.25629,0,0,"2010","3",0,NA,2,4,"","0",0,61.15492,35.40548,0,-1.96611285637283,2
"120",201017025,"3/25/2010 0:00",35,3,19,25.74944,0.646841684234763,184.1,6.3,0.18,0.14,96,11.8,1.12,0,0,"2010","3",0,NA,4,2,"","0",0,56.3269,30.57746,0,-1.96611285637283,1
"121",201017026,"3/25/2010 0:00",35,3,19,25.74944,0.646841684234763,191,6.4,0.19,0.14,97,11.9,1.15614,0,0,"2010","3",0,NA,2,2,"","0",0,56.3269,30.57746,0,-1.96611285637283,2
"122",201017027,"3/25/2010 0:00",36,1,19,27.35878,0.66042469637958,181.7,6.6,0.18,0.13,106,12.8,1.13185,0,0,"2010","3",0,NA,2,2,"","0",0,57.93624,30.57746,0,-2.04022082852655,2
"123",201017028,"3/25/2010 0:00",35,1,19,25.74944,0.646841684234763,183.6,6.6,0.18,0.14,103,12.5,1.15555,0,0,"2010","3",0,NA,2,2,"","0",0,56.3269,30.57746,0,-1.96611285637283,2
"124",201017029,"3/26/2010 0:00",37,1,24,20.92142,0.606092647800312,172,7.1,0.17,0.13,93,11.2,1.19111,1,0.083955302,"2010","3",1,NA,4,1,"","0",1,59.54558,38.62416,1,-2.04022082852655,1
"125",201017030,"3/26/2010 0:00",38,1,24,22.53076,0.619675659945129,170,7,0.16,0.12,93,11.5,1.09925,0,0,"2010","3",0,NA,4,2,"","0",0,61.15492,38.62416,0,-2.12026353620009,1
"126",201017031,"3/29/2010 0:00",37,3,29,12.87472,0.538177587076228,156.1,7.1,0.15,0.11,93,11.3,1.09629,2,0.18243348,"2010","3",1,NA,4,4,"","0",1,59.54558,46.67086,2,-2.20727491318972,1
"127",201017032,"3/29/2010 0:00",37,3,29,12.87472,0.538177587076228,162.3,7.2,0.15,0.12,103,12.3,1.26222,5,0.396127458,"2010","3",1,NA,4,4,"","0",1,59.54558,46.67086,5,-2.12026353620009,1
"128",201017033,"3/29/2010 0:00",36,3,29,11.26538,0.524594574931411,160.6,7.1,0.15,0.12,95,11.4,1.15851,1,0.08631777,"2010","3",1,NA,4,2,"","0",1,57.93624,46.67086,1,-2.12026353620009,1
"129",201017034,"3/29/2010 0:00",36,1,29,11.26538,0.524594574931411,175.5,6.8,0.17,0.13,95,11.6,1.13481,0,0,"2010","3",0,NA,4,2,"","0",0,57.93624,46.67086,0,-2.04022082852655,1
"130",201017035,"3/31/2010 0:00",36,3,3,53.10822,0.877752890696649,142.8,6.6,0.14,0.11,87,10.6,1.28888,0,0,"2010","3",0,NA,4,2,"","0",0,57.93624,4.82802,0,-2.20727491318972,1
"131",201017036,"3/31/2010 0:00",37,1,3,54.71756,0.891335902841465,139.2,6.6,0.13,0.1,92,11.3,1.35703,1,0.073690338,"2010","3",1,NA,1,2,"","0",1,59.54558,4.82802,1,-2.30258509299405,2
"132",201017037,"3/31/2010 0:00",37,1,3,54.71756,0.891335902841465,139.2,6.6,0.13,0.1,88,10.8,1.31259,0,0,"2010","3",0,NA,2,2,"","0",0,59.54558,4.82802,0,-2.30258509299405,2
"133",201017038,"3/31/2010 0:00",37,3,3,54.71756,0.891335902841465,142.1,6.7,0.14,0.11,89,10.9,1.25333,1,0.079787446,"2010","3",1,NA,2,3,"","0",1,59.54558,4.82802,1,-2.20727491318972,2
"134",201017039,"4/1/2010 0:00",36,3,4,51.49888,0.864169878551832,141.5,6.4,0.14,0.1,95,11.7,1.11703,2,0.179046221,"2010","4",1,NA,2,3,"","0",1,57.93624,6.43736,2,-2.30258509299405,2
"135",201017040,"4/1/2010 0:00",36,1,4,51.49888,0.864169878551832,149.5,6.3,0.14,0.1,109,13.4,1.14074,0,0,"2010","4",0,NA,2,4,"","0",0,57.93624,6.43736,0,-2.30258509299405,2
"136",201017041,"4/1/2010 0:00",36,1,4,51.49888,0.864169878551832,139.6,6.2,0.14,0.1,95,11.7,1.16148,1,0.086097049,"2010","4",1,NA,3,4,"","0",1,57.93624,6.43736,1,-2.30258509299405,2
"137",201017042,"4/1/2010 0:00",36,1,4,51.49888,0.864169878551832,140.6,6.2,0.14,0.1,93,11.5,1.06666,0,0,"2010","4",0,NA,4,4,"","0",0,57.93624,6.43736,0,-2.30258509299405,1
"138",201017043,"4/2/2010 0:00",37,3,-2,62.76426,0.95925096356555,134.7,6.3,0.13,0.1,93,11.5,1.15851,1,0.08631777,"2010","4",1,NA,2,2,"","0",1,59.54558,-3.21868,1,-2.30258509299405,2
"139",201017044,"4/2/2010 0:00",40,1,-2,67.59228,1,132.7,6.1,0.13,0.1,119,14.8,1.2237,0,0,"2010","4",0,NA,2,4,"","0",0,64.3736,-3.21868,0,-2.30258509299405,2
"140",201017045,"4/2/2010 0:00",40,1,-2,67.59228,1,132.4,6.1,0.14,0.1,98,12.3,1.14666,0,0,"2010","4",0,NA,4,4,"","0",0,64.3736,-3.21868,0,-2.30258509299405,1
"141",201017046,"4/5/2010 0:00",39,3,5,54.71756,0.891335902841465,138.7,7.3,0.13,0.1,100,12.1,1.10222,1,0.090725989,"2010","4",1,NA,2,2,"","0",1,62.76426,8.0467,1,-2.30258509299405,2
"142",201017047,"4/5/2010 0:00",38,3,5,53.10822,0.877752890696649,139.9,7.5,0.13,0.1,89,10.7,1.10222,1,0.090725989,"2010","4",1,NA,2,2,"","0",1,61.15492,8.0467,1,-2.30258509299405,2
"143",201017048,"4/6/2010 0:00",39,3,29,16.0934,0.565343611365862,209.8,7.8,0.2,0.15,100,11.9,1.21185,3,0.247555391,"2010","4",1,NA,2,2,"","0",1,62.76426,46.67086,3,-1.89711998488588,2
"144",201017049,"4/6/2010 0:00",39,3,29,16.0934,0.565343611365862,159.9,7.8,0.14,0.11,95,11.4,1.3037,1,0.076704763,"2010","4",1,NA,2,2,"","0",1,62.76426,46.67086,1,-2.20727491318972,2
"145",201017050,"4/6/2010 0:00",39,3,29,16.0934,0.565343611365862,170.9,7.7,0.16,0.12,101,12.1,1.08444,0,0,"2010","4",0,NA,2,2,"","0",0,62.76426,46.67086,0,-2.12026353620009,2
"146",201017051,"4/6/2010 0:00",39,3,29,16.0934,0.565343611365862,144.8,7.7,0.14,0.1,102,12.2,1.04592,3,0.286828821,"2010","4",1,NA,2,4,"","0",1,62.76426,46.67086,3,-2.30258509299405,2
"147",201017052,"4/7/2010 0:00",37,3,30,11.26538,0.524594574931411,148.9,8.5,0.14,0.1,99,11.6,1.11111,0,0,"2010","4",0,NA,2,2,"","0",0,59.54558,48.2802,0,-2.30258509299405,2
"148",201017053,"4/7/2010 0:00",36,3,30,9.65604,0.511011562786595,150.2,8.4,0.14,0.1,110,12.9,1.12,6,0.535714286,"2010","4",1,NA,2,2,"","0",1,57.93624,48.2802,6,-2.30258509299405,2
"149",201017054,"4/7/2010 0:00",36,3,30,9.65604,0.511011562786595,150.2,8.4,0.14,0.1,117,13.4,1.06962,0,0,"2010","4",0,NA,2,2,"","0",0,57.93624,48.2802,0,-2.30258509299405,2
"150",201017055,"4/8/2010 0:00",40,3,31,14.48406,0.551760599221045,150.1,8.6,0.14,0.1,94,10.9,1.04888,0,0,"2010","4",0,NA,4,2,"","0",0,64.3736,49.88954,0,-2.30258509299405,1
"151",201017056,"4/8/2010 0:00",40,3,31,14.48406,0.551760599221045,150,8.6,0.14,0.1,99,11.6,1.25333,1,0.079787446,"2010","4",1,NA,1,2,"","0",1,64.3736,49.88954,1,-2.30258509299405,2
"152",201017057,"4/8/2010 0:00",37,3,31,9.65604,0.511011562786595,150.6,8.7,0.14,0.1,93,10.9,1.1437,3,0.262306549,"2010","4",1,NA,2,2,"","0",1,59.54558,49.88954,3,-2.30258509299405,2
"153",201017058,"4/9/2010 0:00",37,1,33,6.43736,0.483845538496961,430,9.3,0.42,0.36,96,11,1.11407,0,0,"2010","4",0,NA,2,2,"","0",0,59.54558,53.10822,0,-1.02165124753198,2
"154",201017059,"4/9/2010 0:00",36,3,33,4.82802,0.470262526352144,5215,8.9,5.31,4.69,89,10.3,1.09037,1,0.091711988,"2010","4",1,NA,2,2,"","0",1,57.93624,53.10822,1,1.54543258245819,2
"155",201017060,"4/9/2010 0:00",36,3,33,4.82802,0.470262526352144,6200,8.7,NA,4.01,99,11,1.08148,2,0.18493176,"2010","4",1,NA,2,2,"","0",1,57.93624,53.10822,2,1.38879124131848,2
"156",201017061,"4/9/2010 0:00",36,3,33,4.82802,0.470262526352144,1100,8.7,1.03,0.89,89,10.1,1.13185,1,0.08835093,"2010","4",1,NA,2,2,"","0",1,57.93624,53.10822,1,-0.116533816255952,2
"157",201017062,"4/12/2010 0:00",41,1,42,-1.60934,0.415930477772877,2590,9.7,2.37,1.97,99,11.1,1.11111,0,0,"2010","4",0,NA,4,4,"","0",0,65.98294,67.59228,0,0.678033542749897,1
"158",201017063,"4/12/2010 0:00",39,3,42,-4.82802,0.388764453483243,2227,9.8,2.04,1.66,105,11.8,1.13481,1,0.088120478,"2010","4",1,NA,4,1,"","0",1,62.76426,67.59228,1,0.506817602368452,1
"159",201017064,"4/12/2010 0:00",39,3,42,-4.82802,0.388764453483243,3186,9.9,2.91,2.42,107,12,1.08148,4,0.36986352,"2010","4",1,NA,2,2,"","0",1,62.76426,67.59228,4,0.883767540168595,2
"160",201017065,"4/12/2010 0:00",39,3,42,-4.82802,0.388764453483243,6316,9.4,5.83,5.02,102,11.2,1.2474,2,0.160333494,"2010","4",1,NA,2,2,"","0",1,62.76426,67.59228,2,1.61342993370364,2
"161",201017066,"4/13/2010 0:00",39,3,45,-9.65604,0.348015417048793,5006,9.9,4.57,3.88,111,12.1,1.17333,9,0.767047634,"2010","4",1,NA,4,4,"","0",1,62.76426,72.4203,9,1.35583515363518,1
"162",201017067,"4/13/2010 0:00",39,3,45,-9.65604,0.348015417048793,5760,9.7,5.4,4.63,97,10.7,1.30962,7,0.534506193,"2010","4",1,NA,4,1,"","0",1,62.76426,72.4203,7,1.53255686809814,1
"163",201017068,"4/13/2010 0:00",35,3,45,-16.0934,0.293683368469526,6666,9.6,6.14,5.34,93,10.3,1.22074,9,0.737257729,"2010","4",1,NA,1,2,"","0",1,56.3269,72.4203,9,1.6752256529721,2
"164",201017069,"4/13/2010 0:00",35,3,45,-16.0934,0.293683368469526,8066,9.5,7.45,6.54,99,10.8,1.15259,3,0.260283362,"2010","4",1,NA,2,2,"","0",1,56.3269,72.4203,3,1.87793716546911,2
"165",201017070,"4/14/2010 0:00",35,3,48,-20.92142,0.252934332035075,5011,10.1,4.55,3.85,99,10.8,1.14962,2,0.173970529,"2010","4",1,NA,2,4,"","0",1,56.3269,77.24832,2,1.34807314829969,2
"166",201017071,"4/14/2010 0:00",35,3,48,-20.92142,0.252934332035075,3921,10.1,3.38,3.01,90,10,1.10518,6,0.542897989,"2010","4",1,NA,2,4,"","0",1,56.3269,77.24832,6,1.10194007876078,2
"167",201017072,"4/14/2010 0:00",37,1,48,-17.70274,0.280100356324709,4493,10.2,4.06,3.46,95,10.4,1.21185,5,0.412592318,"2010","4",1,NA,4,2,"","0",1,59.54558,77.24832,5,1.24126858906963,1
"168",201017073,"4/14/2010 0:00",37,1,48,-17.70274,0.280100356324709,4493,10.2,4.06,3.41,100,11,1.52296,3,0.196984819,"2010","4",1,NA,1,2,"","0",1,59.54558,77.24832,3,1.22671229129543,2
"169",201017074,"4/15/2010 0:00",35,3,51,-25.74944,0.212185295600625,3736,10.6,3.34,2.78,92,10,1.12592,4,0.355265028,"2010","4",1,NA,3,4,"","0",1,56.3269,82.07634,4,1.02245092770255,2
"170",201017075,"4/15/2010 0:00",35,3,51,-25.74944,0.212185295600625,3899,10.7,3.42,2.82,97,10.6,1.21777,0,0,"2010","4",0,NA,4,4,"","0",0,56.3269,82.07634,0,1.03673688495002,1
"171",201017076,"4/15/2010 0:00",38,1,51,-20.92142,0.252934332035075,2986,10.7,2.66,2.18,118,12.9,1.15851,3,0.258953311,"2010","4",1,NA,4,2,"","0",1,61.15492,82.07634,3,0.779324876800998,1
"172",201017077,"4/15/2010 0:00",39,1,51,-19.31208,0.266517344179892,3072,10.7,2.74,2.25,116,12.7,1.41925,5,0.352298749,"2010","4",1,NA,4,2,"","0",1,62.76426,82.07634,5,0.810930216216329,1
"173",201017078,"4/16/2010 0:00",39,1,56,-27.35878,0.198602283455808,1091,11.7,0.95,0.74,100,10.8,1.18518,1,0.084375369,"2010","4",1,NA,2,4,"","0",1,62.76426,90.12304,1,-0.301105092783922,2
"174",201017079,"4/16/2010 0:00",38,3,56,-28.96812,0.185019271310991,1804,11.4,1.58,1.26,99,10.9,1.27703,6,0.469840176,"2010","4",1,NA,3,4,"","0",1,61.15492,90.12304,6,0.231111720963387,2
"175",201017080,"4/16/2010 0:00",39,3,56,-27.35878,0.198602283455808,2178,11.4,1.91,1.54,100,10.8,1.22962,2,0.162651876,"2010","4",1,NA,4,4,"","0",1,62.76426,90.12304,2,0.431782416425538,1
"176",201017081,"4/16/2010 0:00",39,3,56,-27.35878,0.198602283455808,3045,11.6,2.67,2.19,105,11.2,1.09925,4,0.363884467,"2010","4",1,NA,4,4,"","0",1,62.76426,90.12304,4,0.783901543828409,1
"177",201017082,"4/19/2010 0:00",36,1,48,-19.31208,0.266517344179892,2265,11.9,1.94,1.55,103,10.6,1.24148,10,0.805490221,"2010","4",1,NA,2,2,"","0",1,57.93624,77.24832,10,0.438254930931155,2
"178",201017083,"4/19/2010 0:00",36,1,48,-19.31208,0.266517344179892,1479,12.3,1.26,1,93,10.1,1.52888,11,0.719480927,"2010","4",1,NA,2,4,"","0",1,57.93624,77.24832,11,0,2
"179",201017084,"4/20/2010 0:00",38,3,48,-16.0934,0.293683368469525,3317,11.7,2.97,2.36,105,11.1,1.2237,1,0.081719376,"2010","4",1,NA,2,2,"","0",1,61.15492,77.24832,1,0.858661619037519,2
"180",201017085,"4/20/2010 0:00",37,3,48,-17.70274,0.280100356324709,2936,11.8,2.56,2.09,95,10.1,1.1437,0,0,"2010","4",0,NA,2,2,"","0",0,59.54558,77.24832,0,0.73716406597672,2
"181",201017086,"4/20/2010 0:00",35,3,48,-20.92142,0.252934332035075,3708,11.7,3.23,2.68,96,10.3,1.12296,2,0.178100734,"2010","4",1,NA,3,4,"","0",1,56.3269,77.24832,2,0.985816794522765,2
"182",201017087,"4/21/2010 0:00",38,1,48,-16.0934,0.293683368469525,2567,12.2,2.21,1.81,91,9.7,1.12296,2,0.178100734,"2010","4",1,NA,2,2,"","0",1,61.15492,77.24832,2,0.593326845277734,2
"183",201017088,"4/21/2010 0:00",36,1,48,-19.31208,0.266517344179892,2058,12.4,1.76,1.41,96,10.1,1.27703,6,0.469840176,"2010","4",1,NA,2,2,"","0",1,57.93624,77.24832,6,0.343589704390077,2
"184",201017089,"4/22/2010 0:00",36,1,50,-22.53076,0.239351319890258,4233,12.3,3.63,3.05,94,9.6,1.15851,8,0.690542162,"2010","4",1,NA,2,2,"","0",1,57.93624,80.467,8,1.11514159061932,2
"185",201017090,"4/22/2010 0:00",35,1,50,-24.1401,0.225768307745442,3970,12.4,3.39,2.83,91,9.6,1.36592,0,0,"2010","4",0,NA,2,2,"","0",0,56.3269,80.467,0,1.04027671165515,2
"186",201017091,"4/22/2010 0:00",36,3,50,-22.53076,0.239351319890258,2763,12.5,2.34,1.9,88,9.4,1.10518,6,0.542897989,"2010","4",1,NA,2,4,"","0",1,57.93624,80.467,6,0.641853886172395,2
"187",201017092,"4/23/2010 0:00",39,3,48,-14.48406,0.307266380614342,2760,13,2.34,1.92,98,10.1,1.25629,3,0.238798367,"2010","4",1,NA,1,2,"","0",1,62.76426,77.24832,3,0.65232518603969,2
"188",201017093,"4/23/2010 0:00",40,3,48,-12.87472,0.320849392759159,1697,13.2,1.42,1.13,91,9.4,1.17925,2,0.169599322,"2010","4",1,NA,2,2,"","0",1,64.3736,77.24832,2,0.122217632724249,2
"189",201117001,"3/25/2011 0:00",37,1,15,35.40548,0.728339757103664,149.1,4.3,0.15,0.12,114.7,14.9,1.14962,0,0,"2011","3",0,NA,2,2,"","0",0,59.54558,24.1401,0,-2.12026353620009,2
"190",201117002,"3/25/2011 0:00",37,1,15,35.40548,0.728339757103664,148.8,4.3,0.15,0.12,112.7,14.62,1.12,0,0,"2011","3",0,NA,2,3,"","0",0,59.54558,24.1401,0,-2.12026353620009,2
